capability_id,row_kind,capability,status,implementation_status,validation_status,legacy_reference,modern_paths,composition_adapter_paths,test_paths,evidence,remaining_gaps_next_action,active_owner,updated_date
"ZH-F-COMPOSITION","FAMILY","Shared modern composition and execution graph","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp","engine/ecs/scheduler/scheduler.cppm;games/generalszh/composition/game_session.cppm","games/generalszh/composition/README.md;games/generalszh/hosts/headless/README.md","engine/ecs/scheduler/scheduler.test;games/generalszh/composition/game_session.test","The independent root owns one registry and scheduler and executes the registered graph; coordinator evidence includes the connected composition history and rank build 14531/CTest 5 of 5.","Register and validate every remaining gameplay family through this root; family status is not a full-port claim.","","2026-09-07"
"ZH-F-LIFECYCLE-OBJECT","FAMILY","Object creation lifetime death and destruction","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DeletionUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Die/DieModule.cpp","engine/gameplay/lifetime;engine/gameplay/combat/death;games/generalszh/gameplay/lifetime;games/generalszh/gameplay/demolition","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/lifetime/lifetime_store.cppm","engine/gameplay/lifetime/systems/expiration_system.test;games/generalszh/gameplay/lifetime/systems/lifetime_effect_system.test","Modern expiration and bounded death-weapon paths exist; retained lifetime and deletion adapters remain compatibility boundaries.","Map full Object creation and all death/destruction effects; keep deferred deletion and logical action eligibility distinct.","","2026-09-07"
"ZH-F-ECONOMY","FAMILY","Accounts income harvesting revenue and resource settlement","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Money.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AutoDepositUpdate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ResourceGatheringManager.cpp","engine/gameplay/rts/economy;engine/gameplay/rts/harvesting;games/generalszh/gameplay/economy;games/generalszh/gameplay/harvesting","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/economy/account_store.cppm;games/generalszh/adapters/content/rules/game_rules.cppm","games/generalszh/gameplay/economy/systems/account_system.test;games/generalszh/gameplay/economy/systems/economy_system.test;engine/gameplay/rts/harvesting/systems/harvest_system.test","Connected account income and finite-stock harvesting slices are recorded in the migration contract; Cash Bounty DI work is newly active in EconomySystem.","Finish remaining resource types, academy/score/UI effects, map resource behavior and full reference fidelity; update leaves as each boundary is integrated.","","2026-09-07"
"ZH-F-PRODUCTION","FAMILY","Production admission queues completion exits rally power gating and presentation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/DefaultProductionExitUpdate.cpp","engine/gameplay/rts/production;games/generalszh/gameplay/production;games/generalszh/gameplay/containment","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","games/generalszh/gameplay/production/systems/production_admission_system.test;games/generalszh/gameplay/production/systems/production_system.test;games/generalszh/gameplay/production/systems/production_exit_system.test","Bounded admission, queue, completion, rally, initial payload and production-exit paths are connected in the shared plan; full menus and exit/content fidelity remain open. Coordination correction: the stale Hubble active-owner entry is cleared; parallel_port.md records release of Hubble's bounded visibility/root ownership. This overlapping FAMILY anchor is not reserved by the current disjoint leaf tasks, and its implementation/validation status is unchanged.","Finish all production variants, upgrades, disabled scheduling, exits, animation and presentation while preserving FIFO, refund and visibility boundaries.","","2026-09-07"
"ZH-F-CONSTRUCTION","FAMILY","Construction placement builder work site completion and structure activation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/StructureBody.cpp","games/generalszh/gameplay/construction;engine/gameplay/rts/construction","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/buildings/building_definition.cppm","games/generalszh/gameplay/construction/systems/construction_system.test;games/generalszh/gameplay/construction/systems/builder_task_system.test","Paid scaffolds, builder routing and completion are connected through GameSession in bounded scenarios.","Map full structure lifecycle, placement geometry, all builder/dozer policies, content effects and graphical state.","","2026-09-07"
"ZH-F-COMBAT","FAMILY","Health damage armor weapons projectiles targeting poison healing and death effects","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/ActiveBody.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Weapon.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/FiringTracker.cpp","engine/gameplay/combat;games/generalszh/gameplay/combat;games/generalszh/gameplay/demolition","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/armor/armor_definition.cppm","engine/gameplay/combat/systems/health_system.test;engine/gameplay/combat/systems/weapon_system.test;games/generalszh/composition/game_session.test","Connected combat slices cover bounded weapons, splash, stealth eligibility, automatic combat XP and demolition traps; they do not establish full combat fidelity.","Map weapon sets, armor, projectile variants, collision, line of sight, death behavior, diplomacy and all legacy effects.","","2026-09-07"
"ZH-F-MOVEMENT-LOCOMOTION","FAMILY","Navigation movement locomotor policy and physical movement","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp","engine/gameplay/navigation;games/generalszh/gameplay/movement","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","engine/gameplay/navigation/systems/movement_system.test;games/generalszh/composition/game_session.test","Shared FlowFields movement and bounded positional attack approach are connected; authored locomotor and geometry breadth remain incomplete.","Translate and execute all locomotor modes, terrain/clearance/air rules, collision and map geometry through the composed path.","","2026-09-07"
"ZH-F-ORDERS-TASKS","FAMILY","Commands orders engagement task selection and interruption","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIStates.cpp","engine/gameplay/rts/orders;games/generalszh/gameplay/orders;games/generalszh/gameplay/tasks","games/generalszh/composition/game_session.cppm","engine/gameplay/rts/orders/systems/engagement_system.test;games/generalszh/gameplay/orders/systems/order_system.test;games/generalszh/gameplay/tasks/systems/task_selection_system.test","Actual OrderSystem, TaskSelectionSystem and engagement behavior are registered in the shared plan; source coverage is bounded.","Map every command source and interruption policy without turning order acceptance into a catch-all manager.","","2026-09-07"
"ZH-F-HARVESTING","FAMILY","Collectors supply sources finite stock pickup unload and delivery","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AutoDepositUpdate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ResourceGatheringManager.cpp","engine/gameplay/rts/harvesting;games/generalszh/gameplay/harvesting","games/generalszh/composition/game_session.cppm;games/generalszh/gameplay/harvesting/revenue/harvest_revenue.cppm","engine/gameplay/rts/harvesting/systems/harvest_system.test;games/generalszh/gameplay/harvesting/revenue/harvest_revenue.test;games/generalszh/composition/game_session.test","Bounded finite-stock collection and supply delivery funding are recorded as connected history.","Cover oil, worker variants, docking, map resources, capture interactions and all content-authored harvesting rules.","","2026-09-07"
"ZH-F-CAPTURE","FAMILY","Structure and object capture ownership transfer and capture rewards","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp","games/generalszh/gameplay/capture;games/generalszh/gameplay/economy","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/capture/capture_definition.cppm","games/generalszh/gameplay/capture/systems/capture_system.test;games/generalszh/composition/game_session.test","Connected capture transfers supported structure bindings and rejects stale/manual invalid cases in bounded scenarios.","Map diplomacy, capture modules, ownership-wide effects, upgrades, supply/power refresh and all capture content variants.","","2026-09-07"
